ID	Sentence	AG	US	GRP	OTHER	OPP	SELF	WMN
0	HOLT : Good evening from Hofstra University in Hempstead , New York .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
1	HOLT : I 'm Lester Holt , anchor of " NBC Nightly News . "	NONE	NONE	NONE	NONE	NONE	NONE	NONE
2	HOLT : I want to welcome you to the first presidential debate .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
3	HOLT : The participants tonight are Donald Trump and Hillary Clinton .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
4	HOLT : This debate is sponsored by the Commission on Presidential Debates , a nonpartisan , nonprofit organization .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
5	HOLT : The commission drafted tonight 's format , and the rules have been agreed to by the campaigns .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
6	HOLT : The 90-minute debate is divided into six segments , each 15 minutes long .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
7	HOLT : We 'll explore three topic areas tonight : Achieving prosperity ; America 's direction ; and securing America .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
8	HOLT : At the start of each segment , I will ask the same lead-off question to both candidates , and they will each have up to two minutes to respond .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
9	HOLT : From that point until the end of the segment , we 'll have an open discussion .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
10	HOLT : The questions are mine and have not been shared with the commission or the campaigns .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
11	HOLT : The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
12	HOLT : I will invite you to applaud , however , at this moment , as we welcome the candidates : Democratic nominee for president of the United States , Hillary Clinton , and Republican nominee for president of the United States , Donald J. Trump .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
13	CLINTON : How are you , Donald ?	NONE	NONE	NONE	NONE	OPP-neutral	NONE	NONE
14	HOLT : Good luck to you .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
15	HOLT : Well , I do n't expect us to cover all the issues of this campaign tonight , but I remind everyone , there are two more presidential debates scheduled .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
16	HOLT : We are going to focus on many of the issues that voters tell us are most important , and we 're going to press for specifics .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
17	HOLT : I am honored to have this role , but this evening belongs to the candidates and , just as important , to the American people .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
18	HOLT : Candidates , we look forward to hearing you articulate your policies and your positions , as well as your visions and your values .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
19	HOLT : So , let 's begin .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
20	HOLT : We 're calling this opening segment " Achieving Prosperity . "	NONE	NONE	NONE	NONE	NONE	NONE	NONE
21	HOLT : And central to that is jobs .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
22	HOLT : There are two economic realities in America today .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
23	HOLT : There 's been a record six straight years of job growth , and new census numbers show incomes have increased at a record rate after years of stagnation .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
24	HOLT : However , income inequality remains significant , and nearly half of Americans are living paycheck to paycheck .	NONE	NONE	NONE	NONE	NONE	NONE	NONE
25	HOLT : Beginning with you , Secretary Clinton , why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works ?	NONE	NONE	NONE	NONE	NONE	NONE	NONE
26	CLINTON : Well , thank you , Lester , and thanks to Hofstra for hosting us .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
27	CLINTON : The central question in this election is really what kind of country we want to be and what kind of future we 'll build together .	NONE	US-neutral	NONE	NONE	NONE	NONE	NONE
28	CLINTON : Today is my granddaughter 's second birthday , so I think about this a lot .	NONE	NONE	NONE	NONE	NONE	SELF-neutral	NONE
29	CLINTON : First , we have to build an economy that works for everyone , not just those at the top .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
30	CLINTON : That means we need new jobs , good jobs , with rising incomes .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	NONE
31	CLINTON : I want us to invest in you .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
32	CLINTON : I want us to invest in your future .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
33	CLINTON : That means jobs in infrastructure , in advanced manufacturing , innovation and technology , clean , renewable energy , and small business , because most of the new jobs will come from small business .	NONE	US-positive	NONE	NONE	NONE	NONE	NONE
34	CLINTON : We also have to make the economy fairer .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
35	CLINTON : That starts with raising the national minimum wage and also guarantee , finally , equal pay for women 's work .	AG-neutral	US-positive	NONE	NONE	NONE	NONE	WMN-positive
36	CLINTON : I also want to see more companies do profit-sharing .	AG-neutral	NONE	NONE	NONE	NONE	NONE	NONE
37	CLINTON : If you help create the profits , you should be able to share in them , not just the executives at the top .	AG-neutral	US-neutral	NONE	NONE	NONE	NONE	NONE
38	CLINTON : And I want us to do more to support people who are struggling to balance family and work .	AG-positive	US-positive	NONE	NONE	NONE	NONE	NONE
39	CLINTON : I 've heard from so many of you about the difficult choices you face and the stresses that you 're under .	NONE	US-negative	NONE	NONE	NONE	SELF-neutral	NONE
40	CLINTON : So let 's have paid family leave , earned sick days .	AG-positive	US-neutral	NONE	NONE	NONE	NONE	NONE
